"","Region","Province","CityProvince","Barangay","Population","HouseholdPopulation","Nhouseholds","Area","n","BrgyArea","Density"
"16400","MIMAROPA REGION","PALAWAN","ABORLAN","San Juan",3793,3793,1061,29606.25,1459,20.292152159013,186.919552459362
"16388","MIMAROPA REGION","PALAWAN","ABORLAN","Aporawan",3403,3401,751,29606.25,1459,20.292152159013,167.700299767786
"16397","MIMAROPA REGION","PALAWAN","ABORLAN","Plaridel",3297,3297,745,29606.25,1459,20.292152159013,162.476605446485
"16398","MIMAROPA REGION","PALAWAN","ABORLAN","Ramon Magsaysay",2714,2714,602,29606.25,1459,20.292152159013,133.746286679333
"16393","MIMAROPA REGION","PALAWAN","ABORLAN","Isaub",2466,2442,582,29606.25,1459,20.292152159013,121.524813172894
"15798","MIMAROPA REGION","OCCIDENTAL MINDORO","ABRA DE ILOG","Cabacao",5730,5703,1402,29606.25,1459,20.292152159013,282.375174160861
"15803","MIMAROPA REGION","OCCIDENTAL MINDORO","ABRA DE ILOG","Udalo (Camurong)",3944,3944,873,29606.25,1459,20.292152159013,194.36085286046
"15799","MIMAROPA REGION","OCCIDENTAL MINDORO","ABRA DE ILOG","Lumangbayan",3527,3527,871,29606.25,1459,20.292152159013,173.811036521005
"15797","MIMAROPA REGION","OCCIDENTAL MINDORO","ABRA DE ILOG","Balao",3347,3347,800,29606.25,1459,20.292152159013,164.940612201815
"15804","MIMAROPA REGION","OCCIDENTAL MINDORO","ABRA DE ILOG","Wawa",3096,3096,679,29606.25,1459,20.292152159013,152.571298290057
"8464","REGION III - CENTRAL LUZON","BATAAN","ABUCAY","Mabatang",9165,9143,2187,21906.19,3102,7.06195680206318,1297.79893263046
"8461","REGION III - CENTRAL LUZON","BATAAN","ABUCAY","Capitangan",6742,6719,1563,21906.19,3102,7.06195680206318,954.692897304369
"8462","REGION III - CENTRAL LUZON","BATAAN","ABUCAY","Gabon",5405,5391,1333,21906.19,3102,7.06195680206318,765.368601294885
"8460","REGION III - CENTRAL LUZON","BATAAN","ABUCAY","Calaylayan (Pob.)",4833,4833,1162,21906.19,3102,7.06195680206318,684.371221102346
"8467","REGION III - CENTRAL LUZON","BATAAN","ABUCAY","Wawa (Pob.)",4389,4389,1032,21906.19,3102,7.06195680206318,621.49912878506
"6186","REGION II - CAGAYAN VALLEY","CAGAYAN","ABULUG","Libertad",3874,3861,897,29836.88,2311,12.910809173518,300.058652245141
"6185","REGION II - CAGAYAN VALLEY","CAGAYAN","ABULUG","Guiddam",3317,3293,773,29836.88,2311,12.910809173518,256.916507355997
"6187","REGION II - CAGAYAN VALLEY","CAGAYAN","ABULUG","Lucban",2800,2800,639,29836.88,2311,12.910809173518,216.872541633039
"6181","REGION II - CAGAYAN VALLEY","CAGAYAN","ABULUG","Calog Sur",2527,2523,622,29836.88,2311,12.910809173518,195.727468823818
"6183","REGION II - CAGAYAN VALLEY","CAGAYAN","ABULUG","Centro (Pob.)",2395,2395,464,29836.88,2311,12.910809173518,185.503477575403
"28167","REGION VIII - EASTERN VISAYAS","LEYTE","ABUYOG","Balocawehay",3451,3451,855,23234.78,4390,5.29266059225512,652.035009584769
"28213","REGION VIII - EASTERN VISAYAS","LEYTE","ABUYOG","Santo Niño (Pob.)",2789,2789,666,23234.78,4390,5.29266059225512,526.956140751064
"28222","REGION VIII - EASTERN VISAYAS","LEYTE","ABUYOG","Victory (Pob.)",2649,2649,570,23234.78,4390,5.29266059225512,500.504416224298
"28176","REGION VIII - EASTERN VISAYAS","LEYTE","ABUYOG","Cagbolo",2483,492,125,23234.78,4390,5.29266059225512,469.140228571133
"28165","REGION VIII - EASTERN VISAYAS","LEYTE","ABUYOG","Balinsasayao",2305,2305,551,23234.78,4390,5.29266059225512,435.508750244246
"2883","REGION I - ILOCOS","ILOCOS NORTE","ADAMS","Adams (Pob.)",1792,1792,411,12964.62,3265,3.97078713629403,451.295911488343
"14160","REGION IV-A – CALABARZON","QUEZON","AGDANGAN","Poblacion II",2139,2139,554,16576.26,4018,4.12550024888004,518.482576890083
"14159","REGION IV-A – CALABARZON","QUEZON","AGDANGAN","Poblacion I",1675,1673,453,16576.26,4018,4.12550024888004,406.011368064931
"14151","REGION IV-A – CALABARZON","QUEZON","AGDANGAN","Ibabang Kinagunan",1496,1496,356,16576.26,4018,4.12550024888004,362.62269052247
"14153","REGION IV-A – CALABARZON","QUEZON","AGDANGAN","Kanlurang Calutan",1470,1470,344,16576.26,4018,4.12550024888004,356.320424510716
"14149","REGION IV-A – CALABARZON","QUEZON","AGDANGAN","Binagbag",1262,1262,302,16576.26,4018,4.12550024888004,305.902296416683
"8339","REGION II - CAGAYAN VALLEY","QUIRINO","AGLIPAY","San Leonardo (Cabarroguis)",2352,2339,570,29836.88,2311,12.910809173518,182.172934971753
"8332","REGION II - CAGAYAN VALLEY","QUIRINO","AGLIPAY","Palacian",1988,1988,463,29836.88,2311,12.910809173518,153.979504559458
"8331","REGION II - CAGAYAN VALLEY","QUIRINO","AGLIPAY","Ligaya",1844,1844,430,29836.88,2311,12.910809173518,142.826059561187
"8338","REGION II - CAGAYAN VALLEY","QUIRINO","AGLIPAY","San Francisco",1836,1836,433,29836.88,2311,12.910809173518,142.20642372795
