"","CityProvince","Region","Density"
"60","MARAWI CITY (Capital)","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)",644.153698608085
"77","PARANG","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)",483.20226351568
"37","JOLO (Capital)","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)",400.835121599849
"10","BONGAO (Capital)","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)",320.910071908095
"23","DATU ODIN SINSUAT (DINAIG)","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)",316.705842549784
"122","BAGUIO CITY","CORDILLERA ADMINISTRATIVE REGION",1341.86199296401
"172","PILAR","CORDILLERA ADMINISTRATIVE REGION",855.600884443126
"181","SAN ISIDRO","CORDILLERA ADMINISTRATIVE REGION",847.352322016417
"182","SAN JUAN","CORDILLERA ADMINISTRATIVE REGION",662.426002062759
"152","LA TRINIDAD (Capital)","CORDILLERA ADMINISTRATIVE REGION",501.724734737705
"260","TAYTAY","MIMAROPA REGION",905.561899936669
"252","SAN JOSE","MIMAROPA REGION",795.000244880726
"255","SANTA CRUZ","MIMAROPA REGION",649.763614101752
"243","QUEZON","MIMAROPA REGION",615.159839560903
"242","PUERTO PRINCESA CITY (CAPITAL)","MIMAROPA REGION",585.953573991978
"278","QUEZON CITY","NATIONAL CAPITAL REGION",80566.1813603641
"268","CITY OF MANILA","NATIONAL CAPITAL REGION",48846.7508151209
"263","CALOOCAN CITY","NATIONAL CAPITAL REGION",43463.9022500565
"279","TAGUIG CITY","NATIONAL CAPITAL REGION",22086.6368596055
"273","CITY OF PASIG","NATIONAL CAPITAL REGION",20725.2154824547
"282","BACOLOD CITY (Capital)","NEGROS ISLAND REGION",2385.54344749505
"326","SAN JOSE","NEGROS ISLAND REGION",1469.56694027738
"300","CITY OF TALISAY","NEGROS ISLAND REGION",1400.47693178602
"324","SAN CARLOS CITY","NEGROS ISLAND REGION",1363.3187093122
"298","CITY OF KABANKALAN","NEGROS ISLAND REGION",772.616756297764
"435","SANTA MARIA","REGION I - ILOCOS",3944.10511067814
"376","CITY OF SAN FERNANDO (Capital)","REGION I - ILOCOS",3932.86104799061
"438","SANTO TOMAS","REGION I - ILOCOS",3820.11751983475
"415","ROSARIO","REGION I - ILOCOS",3122.00349875276
"417","SAN CARLOS CITY","REGION I - ILOCOS",2947.3854999221
"535","SANTA MARIA","REGION II - CAGAYAN VALLEY",1310.53702665962
"539","SANTO TOMAS","REGION II - CAGAYAN VALLEY",1269.33875123672
"530","SAN MATEO","REGION II - CAGAYAN VALLEY",966.921206238722
"517","QUEZON","REGION II - CAGAYAN VALLEY",816.86530227021
"527","SAN ISIDRO","REGION II - CAGAYAN VALLEY",665.156343424648
"581","CITY OF SAN JOSE DEL MONTE","REGION III - CENTRAL LUZON",3354.45789523418
"663","SANTA MARIA","REGION III - CENTRAL LUZON",2510.75554443744
"580","CITY OF SAN FERNANDO (Capital)","REGION III - CENTRAL LUZON",2503.59775022494
"667","SANTO TOMAS","REGION III - CENTRAL LUZON",2431.82698588846
